ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,month,month_name,day,hour
14001947,JJ456599,2025-10-18 17:08:00,071XX S STONY ISLAND AVE,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,False,False,324,3,8.0,43.0,26,1188052.0,1857748.0,2025,11/02/2025 03:41:09 PM,41.764742524,-87.586292815,"(41.764742524, -87.586292815)",10,October,Saturday,17
14002041,JJ456804,2025-10-18 17:00:00,048XX W MONTROSE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,1624,16,45.0,15.0,08A,1143433.0,1928818.0,2025,10/26/2025 03:54:36 PM,41.960714899,-87.748059492,"(41.960714899, -87.748059492)",10,October,Saturday,17
14003970,JJ458615,2025-10-18 15:52:00,005XX N KINGSBURY ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,ATHLETIC CLUB,False,False,1831,18,42.0,8.0,11,1173193.0,1903598.0,2025,11/02/2025 03:41:09 PM,41.890900247,-87.639397357,"(41.890900247, -87.639397357)",10,October,Saturday,15
14003550,JJ457588,2025-10-18 12:00:00,0000X W TERMINAL ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,False,False,1651,16,41.0,76.0,11,1100317.0,1935229.0,2025,11/02/2025 03:41:09 PM,41.979006297,-87.906463155,"(41.979006297, -87.906463155)",10,October,Saturday,12
14001576,JJ456323,2025-10-18 11:12:00,001XX E DELAWARE PL,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SIDEWALK,False,False,1833,18,2.0,8.0,11,1177786.0,1906673.0,2025,11/02/2025 03:41:09 PM,41.899235024,-87.622436193,"(41.899235024, -87.622436193)",10,October,Saturday,11
14012191,JJ468667,2025-10-18 11:11:00,012XX N LARRABEE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GROCERY FOOD STORE,False,False,1822,18,27.0,8.0,11,1172111.0,1908362.0,2025,11/02/2025 03:41:09 PM,41.903996883,-87.643230238,"(41.903996883, -87.643230238)",10,October,Saturday,11
14001465,JJ456185,2025-10-18 10:32:00,025XX N ELSTON AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,COMMERCIAL / BUSINESS OFFICE,False,False,1432,14,32.0,22.0,08A,1161467.0,1917112.0,2025,11/02/2025 03:41:09 PM,41.928235818,-87.682084152,"(41.928235818, -87.682084152)",10,October,Saturday,10
14001560,JJ456125,2025-10-18 09:30:00,056XX S THROOP ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,713,7,16.0,67.0,08A,1168621.0,1867360.0,2025,11/02/2025 03:41:09 PM,41.791560051,-87.657235534,"(41.791560051, -87.657235534)",10,October,Saturday,9
14001530,JJ456066,2025-10-18 08:00:00,006XX W 62ND ST,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,False,False,711,7,16.0,68.0,26,1173037.0,1863776.0,2025,11/02/2025 03:41:09 PM,41.781628721,-87.641148763,"(41.781628721, -87.641148763)",10,October,Saturday,8
14003602,JJ458768,2025-10-18 02:00:00,035XX N CLARK ST,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,STREET,False,False,1924,19,44.0,6.0,11,1168480.0,1923896.0,2025,10/26/2025 03:54:36 PM,41.94670237,-87.656117076,"(41.94670237, -87.656117076)",10,October,Saturday,2
